movie_id,movie title,Average Rating
50,Star Wars (1977),4.3584905660377355
127,"Godfather, The (1972)",4.283292978208232
174,Raiders of the Lost Ark (1981),4.252380952380952
313,Titanic (1997),4.2457142857142856
172,"Empire Strikes Back, The (1980)",4.204359673024523
1293,Star Kid (1997),5.0
50,Star Wars (1977),4.3584905660377355
174,Raiders of the Lost Ark (1981),4.252380952380952
511,Lawrence of Arabia (1962),4.23121387283237
172,"Empire Strikes Back, The (1980)",4.204359673024523
408,"Close Shave, A (1995)",4.491071428571429
169,"Wrong Trousers, The (1993)",4.466101694915254
114,Wallace & Gromit: The Best of Aardman Animation (1996),4.447761194029851
1367,Faust (1994),4.2
189,"Grand Day Out, A (1992)",4.106060606060606
1293,Star Kid (1997),5.0
132,"Wizard of Oz, The (1939)",4.0772357723577235
8,Babe (1995),3.9954337899543377
500,Fly Away Home (1996),3.903225806451613
1,Toy Story (1995),3.8783185840707963
1500,Santa with Muscles (1996),5.0
408,"Close Shave, A (1995)",4.491071428571429
169,"Wrong Trousers, The (1993)",4.466101694915254
480,North by Northwest (1959),4.284916201117318
251,Shall We Dance? (1996),4.260869565217392
1122,They Made Me a Criminal (1939),5.0
12,"Usual Suspects, The (1995)",4.385767790262173
1191,"Letter From Death Row, A (1998)",4.333333333333333
127,"Godfather, The (1972)",4.283292978208232
1064,Crossfire (1947),4.25
1201,Marlene Dietrich: Shadow and Light (1996) ,5.0
814,"Great Day in Harlem, A (1994)",5.0
1594,Everest (1998),4.5
119,Maya Lin: A Strong Clear Vision (1994),4.5
48,Hoop Dreams (1994),4.094017094017094
1467,"Saint of Fort Washington, The (1993)",5.0
1122,They Made Me a Criminal (1939),5.0
1189,Prefontaine (1997),5.0
1653,Entertaining Angels: The Dorothy Day Story (1996),5.0
1536,Aiqing wansui (1994),5.0
1293,Star Kid (1997),5.0
423,E.T. the Extra-Terrestrial (1982),3.8333333333333335
558,Heavenly Creatures (1994),3.6714285714285713
141,"20,000 Leagues Under the Sea (1954)",3.5
755,Jumanji (1995),3.3125
657,"Manchurian Candidate, The (1962)",4.259541984732825
1064,Crossfire (1947),4.25
484,"Maltese Falcon, The (1941)",4.2101449275362315
488,Sunset Blvd. (1950),4.2
302,L.A. Confidential (1997),4.161616161616162
185,Psycho (1960),4.100418410041841
183,Alien (1979),4.034364261168385
1625,Nightwatch (1997),4.0
208,Young Frankenstein (1974),3.945
853,Braindead (1992),3.857142857142857
132,"Wizard of Oz, The (1939)",4.0772357723577235
1203,Top Hat (1935),4.0476190476190474
1458,"Damsel in Distress, A (1937)",4.0
705,Singin' in the Rain (1952),3.9927007299270074
209,This Is Spinal Tap (1984),3.905759162303665
603,Rear Window (1954),4.3875598086124405
513,"Third Man, The (1949)",4.333333333333333
479,Vertigo (1958),4.251396648044692
484,"Maltese Falcon, The (1941)",4.2101449275362315
191,Amadeus (1984),4.163043478260869
483,Casablanca (1942),4.45679012345679
50,Star Wars (1977),4.3584905660377355
313,Titanic (1997),4.2457142857142856
172,"Empire Strikes Back, The (1980)",4.204359673024523
966,"Affair to Remember, An (1957)",4.1923076923076925
1293,Star Kid (1997),5.0
50,Star Wars (1977),4.3584905660377355
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.252577319587629
172,"Empire Strikes Back, The (1980)",4.204359673024523
89,Blade Runner (1982),4.138181818181818
408,"Close Shave, A (1995)",4.491071428571429
603,Rear Window (1954),4.3875598086124405
12,"Usual Suspects, The (1995)",4.385767790262173
513,"Third Man, The (1949)",4.333333333333333
963,Some Folks Call It a Sling Blade (1993),4.2926829268292686
318,Schindler's List (1993),4.466442953020135
483,Casablanca (1942),4.45679012345679
50,Star Wars (1977),4.3584905660377355
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.252577319587629
511,Lawrence of Arabia (1962),4.23121387283237
661,High Noon (1952),4.1022727272727275
589,"Wild Bunch, The (1969)",4.023255813953488
435,Butch Cassidy and the Sundance Kid (1969),3.949074074074074
510,"Magnificent Seven, The (1954)",3.9421487603305785
646,Once Upon a Time in the West (1969),3.8684210526315788
